ItemID;Target;DisplayTarget;StimulusType;WordFrequency;Set
clean;clean;clean;WORD;HF;1
paint;paint;paint;WORD;HF;1
water;water;water;WORD;HF;1
blind;blind;blind;WORD;HF;2
bride;bride;bride;WORD;HF;2
coast;coast;coast;WORD;HF;2
glory;glory;glory;WORD;HF;1
swear;swear;swear;WORD;HF;1
treat;treat;treat;WORD;HF;1
screw;screw;screw;WORD;HF;2
trash;trash;trash;WORD;HF;2
color;color;color;WORD;HF;1
silly;silly;silly;WORD;HF;2
wheel;wheel;wheel;WORD;HF;2
horse;horse;horse;WORD;HF;1
right;right;right;WORD;HF;1
local;local;local;WORD;HF;1
throw;throw;throw;WORD;HF;1
alarm;alarm;alarm;WORD;HF;1
model;model;model;WORD;HF;2
chair;chair;chair;WORD;HF;2
would;would;would;WORD;HF;2
ready;ready;ready;WORD;HF;1
plant;plant;plant;WORD;HF;2
trail;trail;trail;WORD;HF;1
spoke;spoke;spoke;WORD;HF;1
crane;crane;crane;WORD;HF;2
nurse;nurse;nurse;WORD;HF;1
least;least;least;WORD;HF;2
angel;angel;angel;WORD;HF;2
fruit;fruit;fruit;WORD;HF;1
demon;demon;demon;WORD;HF;1
tongue;tongue;tongue;WORD;HF;1
almost;almost;almost;WORD;HF;2
caught;caught;caught;WORD;HF;2
change;change;change;WORD;HF;2
barely;barely;barely;WORD;HF;1
choice;choice;choice;WORD;HF;2
desert;desert;desert;WORD;HF;2
modern;modern;modern;WORD;HF;1
secret;secret;secret;WORD;HF;2
broken;broken;broken;WORD;HF;2
walker;walker;walker;WORD;HF;1
knight;knight;knight;WORD;HF;2
turtle;turtle;turtle;WORD;HF;2
within;within;within;WORD;HF;2
throat;throat;throat;WORD;HF;2
toward;toward;toward;WORD;HF;2
affair;affair;affair;WORD;HF;1
invite;invite;invite;WORD;HF;2
lately;lately;lately;WORD;HF;2
lesson;lesson;lesson;WORD;HF;2
common;common;common;WORD;HF;2
effect;effect;effect;WORD;HF;1
figure;figure;figure;WORD;HF;1
period;period;period;WORD;HF;1
corner;corner;corner;WORD;HF;2
lonely;lonely;lonely;WORD;HF;1
expert;expert;expert;WORD;HF;1
better;better;better;WORD;HF;1
sudden;sudden;sudden;WORD;HF;2
silent;silent;silent;WORD;HF;1
enough;enough;enough;WORD;HF;2
actual;actual;actual;WORD;HF;2
create;create;create;WORD;HF;1
social;social;social;WORD;HF;1
design;design;design;WORD;HF;2
dragon;dragon;dragon;WORD;HF;2
bright;bright;bright;WORD;HF;2
healthy;healthy;healthy;WORD;HF;2
attempt;attempt;attempt;WORD;HF;2
network;network;network;WORD;HF;2
tonight;tonight;tonight;WORD;HF;1
funeral;funeral;funeral;WORD;HF;1
subject;subject;subject;WORD;HF;1
fifteen;fifteen;fifteen;WORD;HF;2
federal;federal;federal;WORD;HF;1
patient;patient;patient;WORD;HF;2
sweetie;sweetie;sweetie;WORD;HF;2
therapy;therapy;therapy;WORD;HF;1
section;section;section;WORD;HF;1
factory;factory;factory;WORD;HF;2
channel;channel;channel;WORD;HF;1
history;history;history;WORD;HF;1
himself;himself;himself;WORD;HF;1
destiny;destiny;destiny;WORD;HF;1
earlier;earlier;earlier;WORD;HF;1
imagine;imagine;imagine;WORD;HF;1
vampire;vampire;vampire;WORD;HF;2
average;average;average;WORD;HF;2
popular;popular;popular;WORD;HF;1
license;license;license;WORD;HF;1
suspect;suspect;suspect;WORD;HF;2
fashion;fashion;fashion;WORD;HF;2
village;village;village;WORD;HF;1
scratch;scratch;scratch;WORD;HF;2
another;another;another;WORD;HF;2
believe;believe;believe;WORD;HF;1
private;private;private;WORD;HF;1
violent;violent;violent;WORD;HF;1
forearm;forearm;forearm;WORD;LF;2
pecan;pecan;pecan;WORD;LF;1
petit;petit;petit;WORD;LF;2
rerun;rerun;rerun;WORD;LF;1
smoky;smoky;smoky;WORD;LF;2
clove;clove;clove;WORD;LF;1
slush;slush;slush;WORD;LF;1
murky;murky;murky;WORD;LF;1
obese;obese;obese;WORD;LF;2
brash;brash;brash;WORD;LF;1
bison;bison;bison;WORD;LF;2
briar;briar;briar;WORD;LF;2
bicep;bicep;bicep;WORD;LF;2
avert;avert;avert;WORD;LF;2
gassy;gassy;gassy;WORD;LF;2
hertz;hertz;hertz;WORD;LF;1
lurch;lurch;lurch;WORD;LF;1
scour;scour;scour;WORD;LF;2
tunic;tunic;tunic;WORD;LF;2
lasso;lasso;lasso;WORD;LF;1
ratty;ratty;ratty;WORD;LF;2
mooch;mooch;mooch;WORD;LF;2
swirl;swirl;swirl;WORD;LF;1
clunk;clunk;clunk;WORD;LF;2
leach;leach;leach;WORD;LF;2
humid;humid;humid;WORD;LF;1
clump;clump;clump;WORD;LF;2
circa;circa;circa;WORD;LF;2
toxin;toxin;toxin;WORD;LF;2
tulle;tulle;tulle;WORD;LF;1
dusky;dusky;dusky;WORD;LF;1
slurp;slurp;slurp;WORD;LF;1
quark;quark;quark;WORD;LF;2
browse;browse;browse;WORD;LF;1
anklet;anklet;anklet;WORD;LF;1
presto;presto;presto;WORD;LF;2
torque;torque;torque;WORD;LF;2
syntax;syntax;syntax;WORD;LF;1
sickly;sickly;sickly;WORD;LF;2
starry;starry;starry;WORD;LF;1
metric;metric;metric;WORD;LF;1
attain;attain;attain;WORD;LF;1
indigo;indigo;indigo;WORD;LF;1
dimple;dimple;dimple;WORD;LF;1
toffee;toffee;toffee;WORD;LF;2
mailer;mailer;mailer;WORD;LF;1
roofer;roofer;roofer;WORD;LF;1
glider;glider;glider;WORD;LF;1
parody;parody;parody;WORD;LF;2
sprout;sprout;sprout;WORD;LF;1
beaker;beaker;beaker;WORD;LF;1
finite;finite;finite;WORD;LF;2
