Target,StimulusType,WordFrequency,corr_ans,stimulus_list,ItemID
REPEAT,WORD,high,m,2,41
SMALL,WORD,high,m,2,42
MALE,WORD,high,m,2,43
HAND,WORD,high,m,2,44
SHORT,WORD,high,m,2,45
PRISON,WORD,high,m,2,46
OFTEN,WORD,high,m,2,47
HELL,WORD,high,m,2,48
MINUTE,WORD,high,m,2,49
STREET,WORD,high,m,2,50
HIM,WORD,high,m,2,51
WHERE,WORD,high,m,2,52
SMOKE,WORD,high,m,2,53
UNDER,WORD,high,m,2,54
PAIN,WORD,high,m,2,55
NEAR,WORD,high,m,2,56
WAR,WORD,high,m,2,57
INNOCENT,WORD,high,m,2,58
MANY,WORD,high,m,2,59
JESUS,WORD,high,m,2,60
DEAD,WORD,high,m,2,61
OWE,WORD,high,m,2,62
TRAIN,WORD,high,m,2,63
OPENING,WORD,high,m,2,64
POSITIVE,WORD,high,m,2,65
ROOF,WORD,high,m,2,66
HAIR,WORD,high,m,2,67
HOUSE,WORD,high,m,2,68
MOTHER,WORD,high,m,2,69
SWEET,WORD,high,m,2,70
LAST,WORD,high,m,2,71
SHOOT,WORD,high,m,2,72
POLICE,WORD,high,m,2,73
GIRLFRIEND,WORD,high,m,2,74
MOST,WORD,high,m,2,75
SORRY,WORD,high,m,2,76
UPSTAIRS,WORD,high,m,2,77
SISTER,WORD,high,m,2,78
LATE,WORD,high,m,2,79
WHITE,WORD,high,m,2,80
CLOWN,WORD,low,m,2,161
CROCODILE,WORD,low,m,2,162
MUSTACHE,WORD,low,m,2,163
TIGER,WORD,low,m,2,164
SWEAT,WORD,low,m,2,165
LONDON,WORD,low,m,2,166
ACTRESS,WORD,low,m,2,167
GROOM,WORD,low,m,2,168
MONKEY,WORD,low,m,2,169
MINIMUM,WORD,low,m,2,170
SUPPER,WORD,low,m,2,171
YELL,WORD,low,m,2,172
SHEEP,WORD,low,m,2,173
STATUE,WORD,low,m,2,174
ROT,WORD,low,m,2,175
SAUCER,WORD,low,m,2,176
SPRING,WORD,low,m,2,177
NIECE,WORD,low,m,2,178
STIR,WORD,low,m,2,179
GRANDPA,WORD,low,m,2,180
PUCK,WORD,low,m,2,181
YARN,WORD,low,m,2,182
QUART,WORD,low,m,2,183
PRECISE,WORD,low,m,2,184
TEAR,WORD,low,m,2,185
SAND,WORD,low,m,2,186
SNEEZE,WORD,low,m,2,187
EXIT,WORD,low,m,2,188
HEADACHE,WORD,low,m,2,189
GAMBLE,WORD,low,m,2,190
OWL,WORD,low,m,2,191
THIEF,WORD,low,m,2,192
JELLY,WORD,low,m,2,193
INHALE,WORD,low,m,2,194
TRASH,WORD,low,m,2,195
NURSE,WORD,low,m,2,196
TEARS,WORD,low,m,2,197
SQUARE,WORD,low,m,2,198
STICKY,WORD,low,m,2,199
SALT,WORD,low,m,2,200
PERIDION,NONWORD,nw,z,2,281
MIDIR,NONWORD,nw,z,2,282
BERTER,NONWORD,nw,z,2,283
FRING,NONWORD,nw,z,2,284
MOSH,NONWORD,nw,z,2,285
HEIN,NONWORD,nw,z,2,286
OND,NONWORD,nw,z,2,287
WOLTS,NONWORD,nw,z,2,288
TEAD,NONWORD,nw,z,2,289
SQUAMS,NONWORD,nw,z,2,290
WHA,NONWORD,nw,z,2,291
HULEN,NONWORD,nw,z,2,292
HEARALDS,NONWORD,nw,z,2,293
RECAMPER,NONWORD,nw,z,2,294
GORLS,NONWORD,nw,z,2,295
SHUCKY,NONWORD,nw,z,2,296
LAPE,NONWORD,nw,z,2,297
BUNETE,NONWORD,nw,z,2,298
LAWI,NONWORD,nw,z,2,299
NOVE,NONWORD,nw,z,2,300
SARN,NONWORD,nw,z,2,301
STARD,NONWORD,nw,z,2,302
HOPAL,NONWORD,nw,z,2,303
PHINE,NONWORD,nw,z,2,304
OVULING,NONWORD,nw,z,2,305
ORM,NONWORD,nw,z,2,306
YAPE,NONWORD,nw,z,2,307
DISEESH,NONWORD,nw,z,2,308
ORD,NONWORD,nw,z,2,309
PURFULL,NONWORD,nw,z,2,310
SKA,NONWORD,nw,z,2,311
DENASTEE,NONWORD,nw,z,2,312
SALK,NONWORD,nw,z,2,313
MORTY,NONWORD,nw,z,2,314
WABE,NONWORD,nw,z,2,315
PRIEF,NONWORD,nw,z,2,316
POTIVE,NONWORD,nw,z,2,317
VECT,NONWORD,nw,z,2,318
RUSTAGE,NONWORD,nw,z,2,319
SPOOT,NONWORD,nw,z,2,320
ENCODENT,NONWORD,nw,z,2,401
EFFORN,NONWORD,nw,z,2,402
MISTILE,NONWORD,nw,z,2,403
RONG,NONWORD,nw,z,2,404
VASUAL,NONWORD,nw,z,2,405
CHINVESS,NONWORD,nw,z,2,406
MONUND,NONWORD,nw,z,2,407
MINCY,NONWORD,nw,z,2,408
FORCANT,NONWORD,nw,z,2,409
DAOPLE,NONWORD,nw,z,2,410
GANTER,NONWORD,nw,z,2,411
FRIEKS,NONWORD,nw,z,2,412
SLOOM,NONWORD,nw,z,2,413
LIDE,NONWORD,nw,z,2,414
HEG,NONWORD,nw,z,2,415
PAPPER,NONWORD,nw,z,2,416
ROP,NONWORD,nw,z,2,417
FUNNIS,NONWORD,nw,z,2,418
STOE,NONWORD,nw,z,2,419
MIDE,NONWORD,nw,z,2,420
ORDEONS,NONWORD,nw,z,2,421
NIEGE,NONWORD,nw,z,2,422
ABSLESS,NONWORD,nw,z,2,423
GROUN,NONWORD,nw,z,2,424
SHRING,NONWORD,nw,z,2,425
GERMAL,NONWORD,nw,z,2,426
ROGA,NONWORD,nw,z,2,427
BROOTHE,NONWORD,nw,z,2,428
RAMAD,NONWORD,nw,z,2,429
TWIFT,NONWORD,nw,z,2,430
GANNER,NONWORD,nw,z,2,431
CHURIFF,NONWORD,nw,z,2,432
NACE,NONWORD,nw,z,2,433
SCRANTS,NONWORD,nw,z,2,434
PUNKEY,NONWORD,nw,z,2,435
TOURT,NONWORD,nw,z,2,436
JEDAS,NONWORD,nw,z,2,437
PARN,NONWORD,nw,z,2,438
MUSTIQUE,NONWORD,nw,z,2,439
SMULL,NONWORD,nw,z,2,440
