ItemID;Target;StimulusType;WordFrequency;Set;stimulus_list
ability;ability;WORD;HF;1;practice 
aboard;aboard;WORD;HF;1;practice 
basement;basement;WORD;HF;1;practice 
bear;bear;WORD;HF;1;practice 
familiar;familiar;WORD;HF;1;practice 
catapult;catapult;WORD;LF;1;practice 
fallacy;fallacy;WORD;LF;1;practice 
eyelid;eyelid;WORD;LF;1;practice 
medicate;medicate;WORD;LF;1;practice 
overlap;overlap;WORD;LF;1;practice 
dehdley;deadlay;NONWORD;NA;1;practice 
baasps;bosps;NONWORD;NA;1;practice 
dihstraaks;distroks;NONWORD;NA;1;practice 
hhihtaxn;hitun;NONWORD;NA;1;practice 
klehfs;klefs;NONWORD;NA;1;practice 
pliyk;pleek;NONWORD;NA;1;practice 
riyldz;reelds;NONWORD;NA;1;practice 
saarth;sarth;NONWORD;NA;1;practice 
plahb;plub;NONWORD;NA;1;practice 
