ItemID;Target;DisplayTarget;StimulusType;WordFrequency;Set;stimulus_list
pulley;pulley;pulley;WORD;LF;1;Audio
slush;slush;slush;WORD;LF;1;Audio
indigo;indigo;indigo;WORD;LF;1;Audio
license;license;license;WORD;HF;1;Audio
popular;popular;popular;WORD;HF;1;Audio
history;history;history;WORD;HF;1;Audio
affair;affair;affair;WORD;HF;1;Audio
meager;meager;meager;WORD;LF;1;Audio
throw;throw;throw;WORD;HF;1;Audio
clean;clean;clean;WORD;HF;1;Audio
tongue;tongue;tongue;WORD;HF;1;Audio
create;create;create;WORD;HF;1;Audio
roofer;roofer;roofer;WORD;LF;1;Audio
funeral;funeral;funeral;WORD;HF;1;Audio
walkway;walkway;walkway;WORD;LF;1;Audio
swear;swear;swear;WORD;HF;1;Audio
beaker;beaker;beaker;WORD;LF;1;Audio
lastly;lastly;lastly;WORD;LF;1;Audio
ready;ready;ready;WORD;HF;1;Audio
social;social;social;WORD;HF;1;Audio
brash;brash;brash;WORD;LF;1;Audio
firefly;firefly;firefly;WORD;LF;1;Audio
lonely;lonely;lonely;WORD;HF;1;Audio
earlier;earlier;earlier;WORD;HF;1;Audio
attain;attain;attain;WORD;LF;1;Audio
seysihng;seysihng;sasing;NONWORD;LF;1;Audio
fihjh;fihjh;fidge;NONWORD;LF;1;Audio
baebihng;baebihng;babing;NONWORD;LF;1;Audio
lehtaxnd;lehtaxnd;letuned;NONWORD;HF;1;Audio
jhihmbihng;jhihmbihng;jimbing;NONWORD;HF;1;Audio
dihseyts;dihseyts;disatse;NONWORD;HF;1;Audio
blaendiy;blaendiy;blandy;NONWORD;HF;1;Audio
rehnihng;rehnihng;rening;NONWORD;LF;1;Audio
prayl;prayl;prile;NONWORD;HF;1;Audio
baebd;baebd;babed;NONWORD;HF;1;Audio
steym;steym;stame;NONWORD;HF;1;Audio
flowk;flowk;floake;NONWORD;HF;1;Audio
flihjh;flihjh;flidge;NONWORD;LF;1;Audio
greynax;greynax;graina;NONWORD;HF;1;Audio
baaksaard;baaksaard;boksard;NONWORD;LF;1;Audio
druwn;druwn;droon;NONWORD;HF;1;Audio
lahljhd;lahljhd;luljed;NONWORD;LF;1;Audio
mehmihng;mehmihng;meming;NONWORD;LF;1;Audio
sehch;sehch;setch;NONWORD;HF;1;Audio
graengk;graengk;grangk;NONWORD;HF;1;Audio
gleyv;gleyv;glave;NONWORD;LF;1;Audio
trawsiy;trawsiy;trowsy;NONWORD;LF;1;Audio
dihveyk;dihveyk;devake;NONWORD;HF;1;Audio
ihvaecht;ihvaecht;evached;NONWORD;HF;1;Audio
aendihst;aendihst;andist;NONWORD;LF;1;Audio
nurse;nurse;nurse;WORD;HF;1;Audio
himself;himself;himself;WORD;HF;1;Audio
vantage;vantage;vantage;WORD;LF;1;Audio
local;local;local;WORD;HF;1;Audio
mailer;mailer;mailer;WORD;LF;1;Audio
alarm;alarm;alarm;WORD;HF;1;Audio
believe;believe;believe;WORD;HF;1;Audio
idiocy;idiocy;idiocy;WORD;LF;1;Audio
better;better;better;WORD;HF;1;Audio
parsley;parsley;parsley;WORD;LF;1;Audio
treat;treat;treat;WORD;HF;1;Audio
syntax;syntax;syntax;WORD;LF;1;Audio
anklet;anklet;anklet;WORD;LF;1;Audio
federal;federal;federal;WORD;HF;1;Audio
fruit;fruit;fruit;WORD;HF;1;Audio
violent;violent;violent;WORD;HF;1;Audio
subject;subject;subject;WORD;HF;1;Audio
horse;horse;horse;WORD;HF;1;Audio
diverse;diverse;diverse;WORD;LF;1;Audio
expert;expert;expert;WORD;HF;1;Audio
barely;barely;barely;WORD;HF;1;Audio
attest;attest;attest;WORD;LF;1;Audio
period;period;period;WORD;HF;1;Audio
dusky;dusky;dusky;WORD;LF;1;Audio
trail;trail;trail;WORD;HF;1;Audio
slaef;slaef;slaph;NONWORD;HF;1;Audio
dihskeyk;dihskeyk;diskake;NONWORD;HF;1;Audio
rihgowst;rihgowst;regoste;NONWORD;LF;1;Audio
maanviy;maanviy;monvy;NONWORD;HF;1;Audio
chayihng;chayihng;chiing;NONWORD;LF;1;Audio
puwriy;puwriy;poory;NONWORD;HF;1;Audio
skrihjh;skrihjh;skridge;NONWORD;HF;1;Audio
staatiht;staatiht;stotit;NONWORD;LF;1;Audio
flahnd;flahnd;fluned;NONWORD;HF;1;Audio
lihlteyt;lihlteyt;liltate;NONWORD;LF;1;Audio
flehst;flehst;flest;NONWORD;HF;1;Audio
slehsh;slehsh;slesh;NONWORD;LF;1;Audio
skihnt;skihnt;skint;NONWORD;LF;1;Audio
