Target,StimulusType,WordFrequency,corr_ans,stimulus_list,ItemID
RIDE,WORD,high,m,1,1
STANDING,WORD,high,m,1,2
FOREVER,WORD,high,m,1,3
LIFE,WORD,high,m,1,4
MOVIE,WORD,high,m,1,5
RULES,WORD,high,m,1,6
BREATHE,WORD,high,m,1,7
KISS,WORD,high,m,1,8
"TRUE ",WORD,high,m,1,9
FRIEND,WORD,high,m,1,10
NORMAL,WORD,high,m,1,11
MEETING,WORD,high,m,1,12
NICE,WORD,high,m,1,13
WEIRD,WORD,high,m,1,14
TOUCH,WORD,high,m,1,15
SWEAR,WORD,high,m,1,16
GREEN,WORD,high,m,1,17
FORWARD,WORD,high,m,1,18
SELL,WORD,high,m,1,19
UGLY,WORD,high,m,1,20
LEG,WORD,high,m,1,21
LEGS,WORD,high,m,1,22
MISTAKE,WORD,high,m,1,23
WHY,WORD,high,m,1,24
STEP,WORD,high,m,1,25
TOMORROW,WORD,high,m,1,26
OPEN,WORD,high,m,1,27
WRITE,WORD,high,m,1,28
PEOPLE,WORD,high,m,1,29
DOLLARS,WORD,high,m,1,30
DIRTY,WORD,high,m,1,31
TABLE,WORD,high,m,1,32
TIME,WORD,high,m,1,33
TOWN,WORD,high,m,1,34
PRESENT,WORD,high,m,1,35
OUTSIDE,WORD,high,m,1,36
WORSE,WORD,high,m,1,37
SCARE,WORD,high,m,1,38
SONG,WORD,high,m,1,39
PLUS,WORD,high,m,1,40
LIME,WORD,low,m,1,121
DONKEY,WORD,low,m,1,122
PRINCESS,WORD,low,m,1,123
MUD,WORD,low,m,1,124
SHERIFF,WORD,low,m,1,125
EFFECT,WORD,low,m,1,126
HINT,WORD,low,m,1,127
DUSK,WORD,low,m,1,128
PEN,WORD,low,m,1,129
STING,WORD,low,m,1,130
SILVER,WORD,low,m,1,131
VINE,WORD,low,m,1,132
TENNIS,WORD,low,m,1,133
LEND,WORD,low,m,1,134
COW,WORD,low,m,1,135
PARIS,WORD,low,m,1,136
PLEAD,WORD,low,m,1,137
PURSE,WORD,low,m,1,138
WASHER,WORD,low,m,1,139
OFFENSE,WORD,low,m,1,140
MOUNTAIN,WORD,low,m,1,141
SCRATCH,WORD,low,m,1,142
SOFA,WORD,low,m,1,143
TOES,WORD,low,m,1,144
AWAKE,WORD,low,m,1,145
SPIT,WORD,low,m,1,146
PIG,WORD,low,m,1,147
WINNER,WORD,low,m,1,148
WAITRESS,WORD,low,m,1,149
BUTTER,WORD,low,m,1,150
PYRAMID,WORD,low,m,1,151
SHOE,WORD,low,m,1,152
EGGS,WORD,low,m,1,153
SUNSET,WORD,low,m,1,154
VALUES,WORD,low,m,1,155
FOIL,WORD,low,m,1,156
OUTDOORS,WORD,low,m,1,157
SALAD,WORD,low,m,1,158
WRITER,WORD,low,m,1,159
INCREASE,WORD,low,m,1,160
SMAKE,NONWORD,nw,z,1,241
SOLL,NONWORD,nw,z,1,242
LINX,NONWORD,nw,z,1,243
SELLARS,NONWORD,nw,z,1,244
AGAIL,NONWORD,nw,z,1,245
LIBER,NONWORD,nw,z,1,246
PLUR,NONWORD,nw,z,1,247
STIG,NONWORD,nw,z,1,248
CURIS,NONWORD,nw,z,1,249
VONE,NONWORD,nw,z,1,250
SHORK,NONWORD,nw,z,1,251
TOOS,NONWORD,nw,z,1,252
WARNFESS,NONWORD,nw,z,1,253
WASSING,NONWORD,nw,z,1,254
MONSET,NONWORD,nw,z,1,255
SWEER,NONWORD,nw,z,1,256
CHALLING,NONWORD,nw,z,1,257
HIMP,NONWORD,nw,z,1,258
SHEAP,NONWORD,nw,z,1,259
ULTEN,NONWORD,nw,z,1,260
OUTWEERS,NONWORD,nw,z,1,261
MUP,NONWORD,nw,z,1,262
LEMS,NONWORD,nw,z,1,263
RESEIT,NONWORD,nw,z,1,264
WHEMS,NONWORD,nw,z,1,265
DUBE,NONWORD,nw,z,1,266
SPLEET,NONWORD,nw,z,1,267
SMOTER,NONWORD,nw,z,1,268
TIPE,NONWORD,nw,z,1,269
TRUK,NONWORD,nw,z,1,270
PELVER,NONWORD,nw,z,1,271
TAWN,NONWORD,nw,z,1,272
TOCARROP,NONWORD,nw,z,1,273
RUTES,NONWORD,nw,z,1,274
LEBS,NONWORD,nw,z,1,275
FOWN,NONWORD,nw,z,1,276
WODDS,NONWORD,nw,z,1,277
SPUT,NONWORD,nw,z,1,278
SYNAMIN,NONWORD,nw,z,1,279
TERAVER,NONWORD,nw,z,1,280
SHADUE,NONWORD,nw,z,1,361
SAWFER,NONWORD,nw,z,1,362
OUTNADE,NONWORD,nw,z,1,363
FRICODALE,NONWORD,nw,z,1,364
SCAGS,NONWORD,nw,z,1,365
NEAS,NONWORD,nw,z,1,366
YOLL,NONWORD,nw,z,1,367
EBTS,NONWORD,nw,z,1,368
MEAVING,NONWORD,nw,z,1,369
PURKS,NONWORD,nw,z,1,370
PIM,NONWORD,nw,z,1,371
COM,NONWORD,nw,z,1,372
PED,NONWORD,nw,z,1,373
HEND,NONWORD,nw,z,1,374
PROMENT,NONWORD,nw,z,1,375
SEENTAIN,NONWORD,nw,z,1,376
SPANDRA,NONWORD,nw,z,1,377
ULSTARCH,NONWORD,nw,z,1,378
KIMP,NONWORD,nw,z,1,379
OLAN,NONWORD,nw,z,1,380
ROSS,NONWORD,nw,z,1,381
GROTE,NONWORD,nw,z,1,382
PUNE,NONWORD,nw,z,1,383
WICE,NONWORD,nw,z,1,384
CHARK,NONWORD,nw,z,1,385
DEA,NONWORD,nw,z,1,386
SUSH,NONWORD,nw,z,1,387
TOOF,NONWORD,nw,z,1,388
FET,NONWORD,nw,z,1,389
KULLY,NONWORD,nw,z,1,390
EMBORTUSS,NONWORD,nw,z,1,391
URNER,NONWORD,nw,z,1,392
RAD,NONWORD,nw,z,1,393
TOFILLER,NONWORD,nw,z,1,394
GOLEN,NONWORD,nw,z,1,395
SMOOKS,NONWORD,nw,z,1,396
STOMS,NONWORD,nw,z,1,397
EPIL,NONWORD,nw,z,1,398
PREVASE,NONWORD,nw,z,1,399
NURGE,NONWORD,nw,z,1,400
